"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.365581542E0,2.073113937E1,3.891158295E0,-3.181334381E0,2.133171679E1
1.375562542E0,1.819795715E1,2.953508148E0,-3.612288208E0,1.878663038E1
1.385543542E0,1.474793152E1,1.636097717E0,-3.834875336E0,1.532594430E1
1.395524542E0,1.273102570E1,-6.623725891E-1,-1.425485687E0,1.282769512E1
1.405505542E0,9.210346985E0,-4.301155701E0,8.035290527E-1,1.019686672E1
1.415486542E0,8.888665924E0,-5.687722321E0,-3.379971313E-1,1.055806844E1
1.425467542E0,5.283113708E0,-6.799310760E0,-1.842518463E0,8.805497803E0
1.435449542E0,5.353766785E0,-7.155869293E0,-1.876048737E0,9.131749175E0
1.445430542E0,4.012855225E0,-8.613538055E0,4.815486145E-1,9.514616858E0
1.455411542E0,3.998784485E0,-8.743318176E0,1.861229553E0,9.792857884E0
1.465392542E0,4.575684814E0,-7.670648804E0,2.066303101E0,9.167625270E0
1.475373542E0,4.705764313E0,-7.930658112E0,3.698808289E0,9.935831048E0
1.485354542E0,5.095703430E0,-8.211025085E0,2.254312134E0,9.923157239E0
1.495335542E0,6.355633392E0,-6.904541931E0,2.406844940E0,9.688120440E0
1.505316542E0,8.217761078E0,-5.242697754E0,1.732048187E0,9.900377154E0
1.515297542E0,9.206754456E0,-5.099595337E0,2.809806976E0,1.089335648E1
1.525278542E0,8.903485107E0,-6.320905609E0,-1.260379028E-1,1.091978847E1
1.535260542E0,9.635612640E0,-7.766748962E0,-5.658233643E-2,1.237621194E1
1.545241542E0,1.070379135E1,-1.045845154E1,3.799848175E0,1.543985764E1
1.555222542E0,1.036324951E1,-1.125763962E1,5.134323120E0,1.613978513E1
1.565203542E0,8.174800415E0,-1.101544327E1,5.867648163E0,1.491967316E1
1.575184542E0,6.034251709E0,-9.206904144E0,2.728376312E0,1.134122193E1
1.585165542E0,4.599036255E0,-6.844516754E0,2.485730896E0,8.612630386E0
1.595146542E0,2.911894684E0,-5.997428284E0,1.951342163E0,6.946654800E0
1.605127542E0,3.957021332E0,-5.267246704E0,2.904110870E0,7.199705939E0
1.615108542E0,7.882308655E0,-5.001100159E0,4.750371552E0,1.047415020E1
1.625090542E0,1.296229477E1,-5.302872620E0,7.654931488E0,1.596056139E1
1.635071542E0,1.648027908E1,-2.607427826E0,7.786058807E0,1.841252265E1
1.645052542E0,1.951297256E1,7.530839539E-1,6.775061188E0,2.066941431E1
1.655033542E0,2.270613235E1,2.608325958E0,6.137387238E0,2.366515018E1
1.665014542E0,2.256347900E1,4.599185944E0,6.425388336E0,2.390708496E1
1.674995542E0,1.934966217E1,5.143603821E0,6.926396484E0,2.118586922E1
1.684976542E0,1.544248718E1,4.011058960E0,5.074447632E0,1.674243182E1
1.694957542E0,1.281365387E1,2.540217590E0,3.278482361E0,1.346814306E1
1.704938542E0,1.035172348E1,1.472487946E0,4.974156189E-1,1.046775153E1
1.714919542E0,7.139702911E0,5.554948425E-1,-1.982926483E0,7.430742198E0
1.724901542E0,4.395010529E0,-4.827461243E-1,-3.052003326E0,5.372512045E0
1.734882542E0,1.274300079E0,-2.075434113E0,-3.833977203E0,4.542097384E0
1.744863542E0,-2.421065369E0,-3.862867126E0,-4.086352386E0,6.122219841E0
1.754844542E0,-2.128723297E0,-3.331472168E0,-4.101321259E0,5.696578425E0
1.764825542E0,-6.674620056E-1,-2.361339569E0,-2.967878265E0,3.850939040E0
1.774806542E0,1.424737244E0,-1.628463593E0,-9.372010803E-1,2.357989769E0
1.784787542E0,3.740870819E0,-8.833131409E-1,8.217910767E-2,3.844620917E0
1.794768542E0,4.446353760E0,-1.249601440E0,4.179309082E-1,4.637481187E0
1.804749542E0,5.077591095E0,-1.307530975E0,3.589834900E0,6.354406596E0
1.814731542E0,7.467820587E0,-3.218307495E-2,2.980302429E0,8.040620787E0
1.824712542E0,6.966363373E0,-1.613943787E0,-1.360071716E0,7.279067815E0
1.834693542E0,8.232280884E0,-1.735341339E0,-9.244775391E-1,8.463835823E0
1.844674542E0,9.914482727E0,-9.759704590E-2,-1.542392578E0,1.003421486E1
1.854655542E0,1.092832443E1,1.600920868E0,-3.913461914E0,1.171778164E1
1.864636542E0,1.247640518E1,2.922073517E0,-6.065087585E0,1.417689978E1
1.874617542E0,1.305570053E1,2.861299896E0,-6.889273682E0,1.503663677E1
1.884598542E0,1.342752731E1,2.073637848E0,-5.619015198E0,1.470278190E1
1.894579542E0,1.439197174E1,2.470911713E0,-2.895578613E0,1.488686101E1
1.904560542E0,1.492740829E1,2.469863892E0,-4.462220764E-1,1.513693695E1
1.914542542E0,1.438448730E1,1.045426025E0,1.158590698E-1,1.442289201E1
1.924523542E0,1.359832214E1,3.870950317E-1,-8.339158630E-1,1.362936621E1
1.934504542E0,1.338112381E1,-6.692582703E-1,-9.848020935E-1,1.343399480E1
1.944485542E0,1.280512161E1,-1.378932495E0,9.924362183E-2,1.287953585E1
1.954466542E0,1.293325516E1,-1.560804291E0,1.388063507E0,1.310083659E1
1.964447542E0,1.444630875E1,-5.825885010E-1,3.803590393E-1,1.446305358E1
1.974428542E0,1.702439758E1,5.249583435E-1,6.837780762E-1,1.704620916E1
1.984409542E0,2.416335205E1,7.551047516E0,-2.705473938E0,2.545988001E1
