"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.500549208E0,2.213685095E0,1.257901563E0,5.642205255E0,6.190088705E0
1.510531208E0,2.031552221E0,5.851169832E-1,4.414175947E0,4.894335052E0
1.520512208E0,1.544838176E0,6.527105038E-1,2.559169001E0,3.059722531E0
1.530494208E0,-6.223395541E-1,1.519470616E-1,4.368144912E-1,7.753717365E-1
1.540475208E0,-2.627951261E0,-9.216635665E-1,-6.391562194E-1,2.857291065E0
1.550457208E0,-4.575707911E0,-1.890834883E0,-1.216887438E-1,4.952491049E0
1.560439208E0,-4.461727552E0,-6.155021855E-1,1.264764440E-1,4.505757647E0
1.570420208E0,-4.053363565E0,1.677963781E-1,-3.500166678E-1,4.071906615E0
1.580402208E0,-3.299305758E0,-6.150402555E-1,-5.978789699E-1,3.408981118E0
1.590383208E0,-2.454773982E0,-1.315829051E0,-3.149234337E-1,2.802944553E0
1.600365208E0,-1.111537935E0,-2.385643521E0,-7.426893586E-1,2.734666172E0
1.610347208E0,-9.175152594E-1,-3.168646508E0,-1.008337137E0,3.449478036E0
1.620328208E0,-1.798474896E0,-3.307984487E0,-8.063386399E-1,3.850643495E0
1.630310208E0,-2.172298941E0,-3.728952439E0,-5.284310049E-1,4.347781999E0
1.640291208E0,-1.661491298E0,-4.364165297E0,-1.062672973E-1,4.670951167E0
1.650273208E0,-3.804837312E-1,-4.509038250E0,1.080869508E-1,4.526353566E0
1.660254208E0,6.339311475E-1,-3.863810867E0,3.638774925E-1,3.932341535E0
1.670236208E0,-3.636286935E-1,-2.682230086E0,5.852238411E-1,2.769308760E0
1.680218208E0,-5.758542627E-1,-2.133490824E0,-3.009585285E-1,2.230239284E0
1.690199208E0,-1.117811778E0,-2.096208100E0,-4.963794923E-1,2.426928959E0
1.700181208E0,-1.697956143E0,-2.370139921E0,-3.591242909E-1,2.937616136E0
1.710162208E0,-2.414513417E0,-2.639396893E0,-3.400454110E-1,3.593316279E0
1.720144208E0,-3.353927230E0,-2.238351135E0,-1.095315639E0,4.178368105E0
1.730125208E0,-4.057952460E0,-1.675706464E0,-1.514239404E0,4.644124384E0
1.740107208E0,-3.985651639E0,-1.446987653E0,-1.614791048E0,4.537261551E0
1.750089208E0,-2.394576605E0,-1.735915390E0,-1.580619335E0,3.353469373E0
1.760070208E0,-2.938079685E-3,-1.272160875E0,-1.112622812E0,1.690068474E0
1.770052208E0,2.404721816E0,1.620546316E0,-3.554276812E-1,2.921504101E0
1.780033208E0,3.784113902E0,4.000655594E0,-1.105977452E-1,5.507902965E0
1.790015208E0,4.027576467E0,3.289484482E0,-2.319802119E0,5.694169143E0
1.799996208E0,2.287067066E0,2.823137166E0,-3.518777781E0,5.057922133E0
1.809978208E0,7.285525453E-1,2.756143570E0,-3.473687562E0,4.493731353E0
1.819960208E0,7.496639905E-1,2.177111638E0,-3.451804358E0,4.149308919E0
1.829941208E0,8.477318835E-1,2.355564859E0,-2.729124756E0,3.703438549E0
1.839923208E0,1.113396838E0,2.551784552E0,-1.769687299E0,3.298946810E0
1.849904208E0,1.135870465E0,2.016859630E0,-1.241402475E0,2.626595626E0
1.859886208E0,1.136444004E0,1.157035924E0,-1.107897093E0,1.964095993E0
1.869868208E0,1.219823471E0,6.368375060E-1,-6.742324966E-1,1.532357912E0
1.879849208E0,1.823929872E0,3.437247714E-1,2.552637076E-1,1.873506461E0
1.889831208E0,2.551242515E0,1.527541235E-1,1.143496696E0,2.799956587E0
1.899812208E0,2.438849237E0,3.142682531E-1,1.714886609E0,2.997930322E0
1.909794208E0,1.546884555E0,2.522219861E-1,2.408260551E0,2.873358077E0
1.919775208E0,4.902212778E-1,3.040215924E-1,2.770938195E0,2.830343532E0
1.929757208E0,-9.485535957E-2,4.675290379E-1,2.747356959E0,2.788467536E0
1.939739208E0,-2.018742433E-1,8.622090778E-1,3.117310293E0,3.240645178E0
1.949720208E0,1.083859335E0,1.433605716E-1,2.720609456E0,2.932067380E0
1.959702208E0,1.214669297E0,-1.183327344E-1,2.915239291E0,3.160386727E0
1.969683208E0,1.304813482E0,-7.215309164E-1,4.434798492E0,4.678737303E0
1.979665208E0,1.774868078E0,-1.688585249E0,5.914667378E0,6.401934632E0
1.989647208E0,1.406481798E0,-2.340637210E0,6.353512022E0,6.915481806E0
1.999628208E0,6.504348405E-1,-2.448007292E0,5.527160702E0,6.079910412E0
2.009610208E0,1.562071236E-1,-2.161760358E0,4.011440198E0,4.559524205E0
2.019591208E0,1.000856209E-1,-2.591263491E0,1.620672762E-2,2.593246280E0
2.029573208E0,-6.283305381E-1,-1.239760284E0,-2.035863081E0,2.465064565E0
2.039554208E0,6.238920629E-1,-9.510440710E-1,-3.845526624E0,4.010212107E0
2.049536208E0,1.682140886E0,-2.261293709E-1,-4.258612529E0,4.584377071E0
2.059518208E0,2.349201626E0,2.068657190E-2,-3.226884191E0,3.991485663E0
2.069499208E0,2.760248900E0,-3.783224541E-1,-2.180721416E0,3.538028797E0
2.079481208E0,2.898016610E0,-8.713702029E-1,-1.490963393E0,3.373537926E0
2.089462208E0,2.376402581E0,-1.331239388E0,-4.295820701E-1,2.757540261E0
2.099444208E0,1.525961610E0,-1.647841558E0,3.697217846E-1,2.276100796E0
2.109426208E0,4.547009777E-1,-1.886213244E0,7.131743681E-1,2.067164981E0
2.119407208E0,-4.320149504E-1,-1.828065023E0,4.296072131E-1,1.926920082E0
2.129389208E0,-8.016148936E-1,-1.322918508E0,-3.231440341E-1,1.580228428E0
2.139370208E0,-9.999890667E-1,-9.425094751E-1,-1.111306604E0,1.767287360E0
2.149352208E0,-1.036331485E0,-6.032902756E-1,-1.770830430E0,2.138640343E0
2.159334208E0,-8.423569036E-1,-3.797804573E-1,-2.165875921E0,2.354743479E0
2.169315208E0,-2.706285824E-1,-1.211455375E-1,-2.443810453E0,2.461732236E0
2.179297208E0,8.545881093E-2,2.229417613E-1,-2.566051759E0,2.577135593E0
2.189278208E0,2.219207644E-1,2.889720288E-1,-2.797680436E0,2.821306343E0
2.199260208E0,3.803251985E-1,3.166644421E-1,-2.805043834E0,2.848366995E0
2.209241208E0,2.961584761E-1,3.722466123E-1,-2.964408528E0,3.002331644E0
2.219223208E0,8.631228514E-2,2.926826718E-1,-3.237098692E0,3.251449046E0
2.229205208E0,-2.728128098E-2,2.331048068E-1,-3.319473097E0,3.327759571E0
2.239186208E0,-1.735822711E-1,1.614360693E-1,-3.021011914E0,3.030297905E0
2.249168208E0,-3.525827184E-1,1.824445304E-1,-2.751452934E0,2.779944932E0
2.259149208E0,-6.484160163E-1,2.946701404E-1,-2.671695158E0,2.765000694E0
2.269131208E0,-9.179970700E-1,4.945881978E-1,-2.765541800E0,2.955597664E0
2.279113208E0,-9.066109331E-1,7.716699135E-1,-2.984561541E0,3.213257760E0
2.289094208E0,-6.980230629E-1,1.007203361E0,-2.626782110E0,2.898565000E0
2.299076208E0,-5.519181738E-1,1.090915317E0,-1.768579252E0,2.150019179E0
2.309057208E0,-3.491113727E-1,9.881811994E-1,-5.392717427E-1,1.178641101E0
2.319037958E0,-1.789214368E-1,7.583289063E-1,6.996596986E-1,1.047186375E0
2.329019958E0,-2.844822443E-1,5.509012699E-1,1.746943384E0,1.853708053E0
2.339000958E0,-3.425582154E-1,3.878314885E-1,2.479967296E0,2.533376636E0
2.348982958E0,-2.280842778E-1,3.812674043E-1,3.301216335E0,3.330978319E0
2.358963958E0,-7.231909409E-2,4.190602979E-1,3.676818665E0,3.701329096E0
2.368945958E0,1.576540902E-1,4.538702345E-1,3.754942728E0,3.785557805E0
2.378927958E0,3.740664485E-1,5.686095625E-1,4.087553989E0,4.143831579E0
2.388908958E0,4.929070136E-1,9.453851357E-1,4.507004589E0,4.631392959E0
2.398890958E0,4.758270409E-1,1.620246793E0,4.391553655E0,4.705035020E0
2.408871958E0,3.700036935E-1,2.260221915E0,3.480320059E0,4.166309344E0
2.418853958E0,3.218670753E-1,2.675637058E0,2.563989446E0,3.719767998E0
2.428835958E0,1.635034255E-1,2.659425653E0,2.295165460E0,3.516683475E0
2.438816958E0,-7.059502428E-2,2.328259531E0,2.645046473E0,3.524492438E0
2.448798958E0,-3.158209813E-1,1.547572042E0,3.247186893E0,3.610947914E0
2.458779958E0,-7.473619417E-1,5.807893127E-1,3.100417103E0,3.241674306E0
2.468761958E0,-1.475235698E0,-1.416525999E-1,2.110330880E0,2.578736561E0
2.478743958E0,-1.996205510E0,-5.975524029E-1,9.749653226E-1,2.300535306E0
2.488724958E0,-2.066388908E0,-6.931602260E-1,1.917869192E-1,2.187970850E0
2.498706958E0,-2.118386151E0,-7.278412315E-1,-1.612474966E-1,2.245732285E0
2.508687958E0,-2.027904435E0,-7.363515615E-1,-4.102283710E-1,2.196109591E0
2.518669958E0,-1.596794342E0,-7.681753251E-1,-3.122372228E-1,1.799260288E0
2.528651958E0,-9.318615492E-1,-9.141004854E-1,2.666213393E-2,1.305624951E0
2.538632958E0,-6.208364542E-1,-1.091982141E0,2.691327184E-1,1.284638206E0
2.548614958E0,-3.823496142E-1,-1.445298393E0,1.555464613E-1,1.503087946E0
2.558596958E0,1.963518040E-1,-1.869082071E0,-8.681478024E-2,1.881371475E0
2.568577958E0,4.107126667E-1,-1.974745644E0,-2.354270285E-1,2.030697205E0
2.578559958E0,3.384446626E-1,-2.279762140E0,-6.343632567E-1,2.390455385E0
2.588540958E0,1.936404135E-1,-2.218131025E0,-6.956327212E-1,2.332703740E0
2.598522958E0,3.504370826E-1,-2.041118266E0,-4.805703753E-1,2.126009833E0
2.608504958E0,-1.135865348E0,-3.062512235E0,-1.233031016E0,3.491351710E0
2.618485958E0,-1.744471328E0,-3.093446052E0,-2.232390922E0,4.194777458E0
2.628467958E0,-2.318221762E0,-3.085875077E0,-3.637596712E0,5.303667313E0
2.638448958E0,-2.346373182E0,-2.485651959E0,-4.334106515E0,5.519819929E0
2.648430958E0,-1.752957977E0,-1.816970516E0,-4.609293441E0,5.255457121E0
2.658412958E0,-1.179366148E0,-1.403412741E0,-4.906369418E0,5.237645721E0
2.668393958E0,-7.388455452E-1,-8.412970957E-1,-5.142448411E0,5.262931617E0
2.678375958E0,-2.087124158E-1,-3.055029845E-1,-5.059994484E0,5.073503437E0
2.688356958E0,7.401654080E-2,-5.056245250E-1,-5.863856828E0,5.886081167E0
2.698338958E0,-1.264566366E-1,2.873257452E-1,-5.462955936E0,5.471968103E0
2.708320958E0,1.030153683E-1,3.073176679E-1,-4.428089982E0,4.439936621E0
2.718301958E0,1.997727540E-1,2.269050041E-1,-2.904330726E0,2.920022602E0
2.728283958E0,6.952112831E-2,5.775061011E-2,-1.970381867E0,1.972453554E0
