"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.280602000E0,-1.180248785E0,5.679353786E-1,3.590985997E-1,1.358119874E0
2.290614000E0,-9.736134464E-1,-1.051153958E-2,3.273399961E-1,1.027222035E0
2.300626000E0,-8.030399331E-1,-5.549662542E-1,6.930065174E-2,9.786027069E-1
2.310638000E0,-7.239393845E-1,-9.053822869E-1,-2.465723880E-1,1.185159593E0
2.320650000E0,-6.637823528E-1,-1.038633315E0,-5.354663748E-1,1.343908633E0
2.330662000E0,-6.386632991E-1,-1.085540264E0,-8.039325106E-1,1.494187390E0
2.340674000E0,-5.671723169E-1,-1.139122978E0,-9.092969978E-1,1.564003397E0
2.350686000E0,-4.276729542E-1,-1.192181783E0,-9.264147216E-1,1.569218211E0
2.360698000E0,-3.525713164E-1,-1.213221819E0,-9.626785684E-1,1.588384003E0
2.370710000E0,-3.630699921E-1,-1.150873543E0,-9.524085188E-1,1.537339168E0
2.380723000E0,-4.128876847E-1,-9.722440284E-1,-8.985182405E-1,1.386747893E0
2.390735000E0,-5.219058046E-1,-7.092298365E-1,-9.278168839E-1,1.279154721E0
2.400747000E0,-6.210123092E-1,-2.680299336E-1,-8.726630223E-1,1.104100124E0
2.410759000E0,-6.436290470E-1,3.050118184E-1,-7.236362064E-1,1.015352116E0
2.420771000E0,-5.195511308E-1,7.062161815E-1,-6.005290011E-1,1.062689867E0
2.430783000E0,-2.785417655E-1,8.202667075E-1,-3.865080444E-1,9.485839209E-1
2.440795000E0,-3.482163101E-2,7.265539670E-1,-6.023743093E-2,7.298779083E-1
2.450807000E0,2.060134873E-1,4.745483279E-1,1.445952111E-1,5.371642650E-1
2.460819000E0,3.359614232E-1,1.296976751E-1,1.138405379E-1,3.776919815E-1
2.470831000E0,3.048823026E-1,-2.149208432E-1,8.707673550E-3,3.731219785E-1
2.480843000E0,2.256785506E-1,-5.611853528E-1,-2.045736104E-1,6.385218637E-1
2.490855000E0,9.244126350E-2,-8.706124038E-1,-3.825763035E-1,9.554454316E-1
2.500867500E0,-1.106287354E-1,-1.083112500E0,-4.158200634E-1,1.165451728E0
2.510879500E0,-2.667347936E-1,-1.246722856E0,-4.936119686E-1,1.367156943E0
2.520891500E0,-2.419592455E-1,-1.314869231E0,-5.836971331E-1,1.458810376E0
2.530903500E0,-2.064616581E-1,-1.319552266E0,-5.489354726E-1,1.444013418E0
2.540916500E0,-2.065789130E-1,-1.371578452E0,-4.792904198E-1,1.467522267E0
2.550928500E0,-9.326107968E-2,-1.419343772E0,-4.562330578E-1,1.493781435E0
2.560940500E0,8.588450650E-2,-1.433316278E0,-5.081020268E-1,1.523134719E0
2.570952500E0,1.408422123E-1,-1.362835695E0,-5.222300692E-1,1.466247560E0
2.580964500E0,2.160172327E-1,-1.200098913E0,-5.348454735E-1,1.331525638E0
2.590976500E0,3.051042044E-1,-1.046888999E0,-6.288697976E-1,1.258786071E0
2.600988500E0,4.403687212E-1,-9.945441395E-1,-6.800855595E-1,1.282793446E0
2.611000500E0,5.464758413E-1,-9.622435355E-1,-6.106347439E-1,1.263892107E0
2.621012500E0,6.174987173E-1,-8.676396793E-1,-5.644328964E-1,1.205274978E0
2.631024500E0,7.589373091E-1,-6.616405177E-1,-5.520532079E-1,1.148266850E0
2.641036500E0,8.315456942E-1,-3.423427820E-1,-4.675193900E-1,1.013529083E0
2.651048500E0,7.863326839E-1,-4.095272899E-2,-3.214103347E-1,8.504709395E-1
2.661060500E0,6.173744640E-1,2.707687694E-1,-1.350700969E-1,6.875397343E-1
2.671072500E0,4.785560095E-1,5.039048588E-1,-6.076192617E-2,6.975872509E-1
2.681084500E0,3.916716474E-1,5.471637297E-1,-3.490670800E-2,6.738050940E-1
2.691097500E0,3.245713395E-1,4.993025154E-1,3.998501480E-2,5.968654435E-1
2.701109500E0,2.330986673E-1,4.597922945E-1,1.614416242E-3,5.155061097E-1
2.711121500E0,6.331803650E-2,4.689262301E-1,-4.620294392E-2,4.754321140E-1
2.721133500E0,-2.425159004E-1,5.958289361E-1,2.404727736E-2,6.437424598E-1
2.731145500E0,-5.295679960E-1,8.498647285E-1,1.977849931E-1,1.020701339E0
2.741157500E0,-7.253450552E-1,1.095063624E0,4.304614913E-1,1.382239807E0
2.751169500E0,-7.414412704E-1,1.107035213E0,5.678944480E-1,1.448366744E0
2.761181500E0,-6.531486064E-1,9.299750912E-1,6.536982447E-1,1.311021803E0
2.771193500E0,-6.396754521E-1,7.261914396E-1,6.917209339E-1,1.189544678E0
2.781205500E0,-6.744944519E-1,4.079760236E-1,7.367936110E-1,1.079005110E0
2.791217500E0,-8.442201188E-1,4.043466568E-2,8.706387162E-1,1.213406093E0
2.801229500E0,-9.944844979E-1,-2.639082313E-1,5.052041101E-1,1.146245246E0
2.811241500E0,-1.071351118E0,-4.076672906E-1,-1.393479198E-1,1.154730999E0
2.821253500E0,-1.147323991E0,-2.825614339E-1,-5.315791458E-1,1.295673451E0
2.831265500E0,-1.386908974E0,1.423177207E-1,-7.359165287E-1,1.576497375E0
2.841277500E0,-1.592114376E0,7.737146848E-1,-7.806266785E-1,1.934642244E0
2.851290500E0,-1.539252039E0,1.472742884E0,-5.730435061E-1,2.206047892E0
2.861302500E0,-1.199540504E0,2.173682538E0,-3.761046052E-2,2.482983637E0
2.871314500E0,-6.237485138E-1,2.553910600E0,5.869470521E-1,2.693701617E0
2.881326500E0,-7.626815736E-2,2.399867458E0,8.012340206E-1,2.531236181E0
2.891338500E0,3.421778905E-1,2.059276502E0,6.252065170E-1,2.179125652E0
2.901350500E0,3.183461013E-1,2.069266469E0,1.018995441E0,2.328424289E0
2.911362500E0,8.065251660E-1,1.143697840E0,6.606475874E-1,1.547573206E0
2.921374500E0,4.508279282E-1,5.639809066E-1,5.104139793E-1,8.842187026E-1
2.931386500E0,4.740074605E-1,2.501935869E-1,1.341106053E-1,5.525084235E-1
2.941398500E0,3.475769171E-1,4.567903340E-2,-3.055842974E-1,4.650570397E-1
2.951410500E0,1.952511021E-1,-5.208582759E-2,-3.445144379E-1,3.994072161E-1
2.961422500E0,1.468797366E-1,-5.623033404E-2,-7.370126624E-2,1.736876050E-1
2.971434500E0,1.225880273E-1,-4.002185225E-2,2.548521367E-1,2.856207008E-1
2.981446500E0,1.166495951E-1,-1.948467672E-2,4.775129393E-1,4.919404313E-1
2.991458500E0,4.322378755E-2,-5.244250774E-2,4.788243967E-1,4.836231129E-1
3.001471500E0,2.395489136E-2,-1.063421416E-1,3.145140920E-1,3.328687459E-1
3.011483500E0,-4.521633592E-3,-2.474249303E-1,1.498754662E-2,2.479196803E-1
3.021495500E0,-6.581607666E-3,-4.117410457E-1,-2.102553864E-1,4.623649357E-1
3.031507500E0,1.448224120E-1,-5.965054590E-1,-3.360471215E-1,6.997999439E-1
3.041519500E0,3.062441557E-1,-7.414310378E-1,-3.373668380E-1,8.702424088E-1
